"area","area_code","category","twin_code","twin_name","similarity","age_group","area_share","twin_share","difference_pp","direction","comparison_text"
"이북5도청사","3110001","한식음식점",,,,"10대",0.21190967975986377,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","한식음식점",,,,"20대",0.10848258953909527,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","한식음식점",,,,"30대",0.09741198223553711,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","한식음식점",,,,"40대",0.14715949983323873,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","한식음식점",,,,"50대",0.1708278965260996,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","한식음식점",,,,"60대 이상",0.264225905923243,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"10대",0.21190967975986377,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"20대",0.10848258953909527,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"30대",0.09741198223553711,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"40대",0.14715949983323873,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"50대",0.1708278965260996,,,"비교 불가","적합한 비교 상권 없음"
"이북5도청사","3110001","호프-간이주점",,,,"60대 이상",0.264225905923243,,,"비교 불가","적합한 비교 상권 없음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"10대",0.18196897335189655,0.26298500151281573,-8.10160281609192,"우리 상권이 낮음","10대 유동 비중: 우리 상권 18.2% / BEST TWIN 26.3% / 우리 상권이 8.1%p 낮음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"20대",0.12024994126727097,0.08815753454262538,3.209240672464558,"우리 상권이 높음","20대 유동 비중: 우리 상권 12.0% / BEST TWIN 8.8% / 우리 상권이 3.2%p 높음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"30대",0.12148451111507043,0.12563934473468094,-0.41548336196105123,"우리 상권이 낮음","30대 유동 비중: 우리 상권 12.1% / BEST TWIN 12.6% / 우리 상권이 0.4%p 낮음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"40대",0.15405003555498092,0.15993703805091705,-0.5887002495936128,"우리 상권이 낮음","40대 유동 비중: 우리 상권 15.4% / BEST TWIN 16.0% / 우리 상권이 0.6%p 낮음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"50대",0.15756769242655255,0.1283912285504344,2.9176463876118164,"우리 상권이 높음","50대 유동 비중: 우리 상권 15.8% / BEST TWIN 12.8% / 우리 상권이 2.9%p 높음"
"독립문역 1번","3110002","커피-음료","3110687","천왕역 3번(오류2동주민센터, 서울오류남초등학교)",89.58645209580838,"60대 이상",0.26468199971934425,0.23489705649286094,2.978494322648331,"우리 상권이 높음","60대 이상 유동 비중: 우리 상권 26.5% / BEST TWIN 23.5% / 우리 상권이 3.0%p 높음"
